Taxon
Elytesion macounii
Abelia chinensis var. ionandra
Abelia integrifolia
Abelia serrata var. serrata
Abelia spathulata var. spathulata
Abies alba
Abies beshanzuensis
Abies borisii-regis
Abies chensiensis
Abies concolor var. concolor
Abies concolor var. lowiana
Abies delavayi
Abies densa
Abies fabri
Abies fanjingshanensis
Abies ferreana
Abies firma
Abies fraseri
Abies holophylla
Abies pinsapo
Abies taxifolia
Abies yuanbaoshanensis
Acacia angustissima
Acalypha deamii
Acalypha gracilens
Acalypha monococca
Acalypha ostryifolia
Acalypha rhomboidea
Acalypha virginica
Acantholimon fominii
Acantholimon glumaceum
Acanthus dioscoridis
Acanthus hungaricus
Acaulon muticum
Acer acutum
Acer amamiense
Acer barbatum
Acer calcaratum
Acer cappadocicum var. stenocarpum
Acer carpinifolium
Acer circinatum
Acer crataegifolium
Acer divergens
Acer divergens var. trilobum
Acer erianthum
Acer forrestii
Acer grandidentatum
Acer griseum
Acer heldreichii
Acer hyrcanum
Acer ibericum
Acer leucoderme
Acer mandshuricum
Acer micranthum
Acer monspessulanum
Acer negundo
Acer negundo var. texanum
Acer nipponicum
Acer obtusatum
Acer opalus
Acer pauciflorum
Acer pseudoplatanus
Acer pycnanthum
Acer rubrum
Acer rubrum var. drummondii
Acer rubrum var. trilobum
Acer saccharinum
Acer saccharum
Acer saccharum subsp. floridanum
Acer saccharum subsp. nigrum
Acer saccharum subsp. saccharum
Acer saccharum subsp. schneckii
Acer saccharum var. floridanum
Acer sieboldianum
Acer sinense
Acer sosnowskyi
Acer sterculiaceum
Acer trautvetteri
Acer tschonoskii var. tschonoskii
Acer yui
Achillea ageratum
Achillea collina
Achillea tomentosa
Achlys japonica
Acleisanthes crassifolia
Acleisanthes wrightii
Acmella oppositifolia var. repens
Acmispon americanus
Aconitum anthora
Aconitum burnatii
Aconitum chasmanthum
Aconitum delphiniifolium subsp. paradoxum
Aconitum fischeri
Aconitum japonicum
Aconitum lasiostomum
Aconitum metajaponicum
Aconitum reclinatum
Aconitum uncinatum
Aconitum uncinatum subsp. muticum
Actaea elata
Actaea laciniata
Actaea pachypoda
Actaea podocarpa
Actaea racemosa
Actaea rubifolia
Actaea spicata
Adenophora khasiana
Adenophora liliifolia
Adenophora pereskiifolia
Adenophora pereskiifolia var. yamadae
Adenophora takedae var. howozana
Adenostyles alliariae
Adiantum aleuticum var. aleuticum
Adiantum capillus-junonis
Adiantum capillus-veneris
Adiantum edgeworthii
Adiantum melanoleucum
Adiantum pedatum
Adiantum pedatum var. pedatum
Adiantum shastense
Adiantum venustum
Adiantum viridimontanum
Adonis flammea
Adonis pyrenaica
Adoxa moschatellina var. insularis
Aesculus chinensis
Aesculus flava var. glabra
Aesculus glabra
Aesculus glabra var. arguta
Aesculus hippocastanum
Aesculus pavia
Aesculus turbinata
Aethionema thomasianum
Agalinis auriculata
Agalinis fasciculata
Agalinis gattingeri
Agalinis heterophylla
Agalinis purpurea
Agalinis skinneriana
Agalinis tenuifolia
Agalinis viridis
Agastache cana
Agastache foeniculum
Agastache nepetoides
Agastache scrophulariifolia
Agave gracilipes
Agave havardiana
Agave parryi
Agave utahensis
Ageratina altissima
Ageratina altissima var. altissima
Agrimonia gryposepala
Agrimonia parviflora
Agrimonia pubescens
Agrimonia rostellata
Agrostis elliottiana
Agrostis hyemalis
Agrostis hyemalis var. hyemalis
Agrostis perennans
Agrostis perennans var. perennans
Ainsliaea dissecta
Ajuga genevensis
Ajuga piskoi
Alcea rosea
Alcea transcaucasica
Aletris farinosa
Aletris lutea
Alisma gramineum
Alisma subcordatum
Alisma triviale
Allium albovianum
Allium baytopiorum
Allium burdickii
Allium canadense var. lavandulare
Allium canadense var. lavendulare
Allium canadense var. mobilense
Allium cernuum
Allium crenulatum
Allium cuthbertii
Allium derderianum
Allium douglasii
Allium egorovae
Allium glaciale
Allium gramineum
Allium grande
Allium gunibicum
Allium hissaricum
Allium insufficiens
Allium lenkoranicum
Allium mariae
Allium materculae
Allium moschatum
Allium munzii
Allium oxyphilum
Allium platycaule
Allium popovii
Allium psebaicum
Allium ramosum
Allium scabriscapum
Allium schugnanicum
Allium siskiyouense
Allium spathulatum
Allium stellatum
Allium sulphureum
Allium trautvetterianum
Allium tribracteatum
Allium tricoccum
Allium tricoccum var. burdickii
Allium validum
Allium woronowii
Allium zaprjagajevii
Alnus maritima
Alnus rhombifolia
Alnus serrulata
Alopecurus aequalis
Alopecurus carolinianus
Alyssum artwinense
Amana erythronioides
Amaranthus blitoides
Ambrosia bidentata
Ambrosia bidentata var. trifida
Ambrosia psilostachya
Amelanchier arborea
Amelanchier arborea var. arborea
Amelanchier asiatica
Amelanchier bartramiana
Amelanchier humilis
Amelanchier nantucketensis
Amelanchier sanguinea
Amelanchier sanguinea var. gaspensis
Amelanchier sanguinea var. sanguinea
Amelanchier sinica
Amelanchier stolonifera
Amerorchis rotundifolia
Amianthium muscitoxicum
Ammannia coccinea
Amoreuxia wrightii
Amorpha canescens
Amorpha fruticosa
Amorpha herbacea var. herbacea
Amorpha laevigata
Amorpha nitens
Amorpha notha
Amorpha ouachitensis
Amorpha paniculata
Amorpha schwerinii
Ampelopsis arborea
Ampelopsis cordata
Amphiachyris dracunculoides
Amphicarpaea bracteata
Amsonia ciliata
Amsonia ciliata var. filifolia
Amsonia grandiflora
Amsonia hubrichtii
Amsonia illustris
Amsonia jonesii
Amsonia kearneyana
Amsonia ludoviciana
Amsonia peeblesii
Amsonia rigida
Amsonia tabernaemontana
Amsonia tabernaemontana var. salicifolia
Amsonia tharpii
Anacamptis palustris
Anagallis minima
Anaphalis sinica var. morii
Anaphalis souliei
Anchusa azurea
Andersonglossum virginianum
Andrachne phyllanthoides
Andromeda polifolia
Andropogon gerardii
Andropogon glomeratus var. hirsutior
Andropogon gyrans
Andropogon hallii
Andropogon hirsutior
Andropogon ternarius
Andropogon virginicus
